"Customer" "TypeOfCustomer" "Items" "Net.Sales" "MethodOfPayment" "Gender" "Marital.Status" "Age" "Level" "HolidaySales"
"66" 66 "Regular" 3 230.9 "Proprietary Card" "Male" "Married" 84 100 238.295415083847
"67" 67 "Regular" 5 105.23 "Discover" "Male" "Married" 47 100 134.694625988862
"68" 68 "Promotional" 6 250.09 "Visa" "Female" "Married" 62 400 258.276932479314
"69" 69 "Promotional" 3 288.57 "MasterCard" "Male" "Married" 72 300 284.862712626727
"70" 70 "Regular" 3 201.84 "Discover" "Male" "Married" 48 200 224.699894103896
"71" 71 "Promotional" 10 146.42 "MasterCard" "Male" "Married" 28 300 174.768104361833
"72" 72 "Regular" 5 275.47 "Visa" "Male" "Divorced" 43 300 289.75993780623
"73" 73 "Promotional" 1 206.12 "Discover" "Female" "Married" 29 400 215.374599414297
"74" 74 "Regular" 1 206.12 "Discover" "Male" "Divorced" 39 300 208.849694025239
"75" 75 "Regular" 3 104.65 "Discover" "Female" "Never married" 86 400 122.578849496455
"76" 76 "Promotional" 8 270.85 "Discover" "Male" "Divorced" 57 400 271.499113192402
"77" 77 "Regular" 10 262.38 "Discover" "Female" "Married" 35 200 286.352963200505
"78" 78 "Regular" 1 167.68 "Discover" "Male" "Divorced" 50 100 170.191402414808
"79" 79 "Promotional" 7 179.67 "MasterCard" "Female" "Married" 65 300 196.008987015845
"80" 80 "Regular" 9 173.99 "Discover" "Female" "Never married" 75 200 178.391661291438
"81" 81 "Regular" 1 222.45 "MasterCard" "Female" "Divorced" 72 200 234.555964789217
"82" 82 "Regular" 8 265.82 "Discover" "Male" "Never married" 62 100 279.848552536441
"83" 83 "Promotional" 4 172.04 "Visa" "Female" "Never married" 74 100 175.847473372932
"84" 84 "Regular" 9 186.9 "Discover" "Male" "Divorced" 51 300 204.522633604279
"85" 85 "Promotional" 5 113 "MasterCard" "Male" "Divorced" 85 300 139.398481432625
"86" 86 "Regular" 1 224.81 "Proprietary Card" "Male" "Married" 24 300 228.662598453444
"87" 87 "Regular" 2 129.13 "Discover" "Male" "Divorced" 78 400 136.935199707981
"88" 88 "Regular" 1 264.28 "Discover" "Male" "Married" 25 200 285.125280363879
"89" 89 "Promotional" 3 281.14 "MasterCard" "Male" "Never married" 44 400 294.21925112717
"90" 90 "Promotional" 10 235.41 "Proprietary Card" "Male" "Married" 23 100 245.056929565799
"91" 91 "Promotional" 2 117.07 "Visa" "Female" "Never married" 35 400 130.091516969187
"92" 92 "Promotional" 7 220.4 "Discover" "Female" "Divorced" 38 300 223.984220419195
"93" 93 "Regular" 1 251.6 "MasterCard" "Female" "Never married" 88 100 265.507290769649
"94" 94 "Regular" 3 285.55 "Discover" "Male" "Never married" 29 100 300.978005903344
"95" 95 "Promotional" 10 242.56 "Visa" "Female" "Married" 73 400 252.88609593438
"96" 96 "Regular" 9 165.92 "MasterCard" "Male" "Divorced" 21 300 178.968646993002
"97" 97 "Promotional" 2 148.85 "Discover" "Female" "Married" 72 100 160.639551941545
"98" 98 "Regular" 6 189.97 "Discover" "Female" "Married" 45 400 212.314959971607
"99" 99 "Regular" 6 192.93 "Proprietary Card" "Male" "Married" 70 400 216.208629252153
"100" 100 "Regular" 2 150.88 "Visa" "Male" "Never married" 75 400 160.755065359966
"101" 101 "Promotional" 8 294.17 "Proprietary Card" "Female" "Married" 41 300 306.870366524925
"102" 102 "Promotional" 5 243.27 "Proprietary Card" "Female" "Divorced" 82 100 248.345544031977
"103" 103 "Regular" 7 145.76 "MasterCard" "Female" "Never married" 33 200 165.199492769211
"104" 104 "Regular" 6 208.36 "MasterCard" "Female" "Divorced" 47 100 223.314475035184
"105" 105 "Promotional" 1 292.8 "Discover" "Male" "Married" 84 100 288.613356119118
"106" 106 "Regular" 9 125.85 "Discover" "Male" "Never married" 86 400 155.802088637748
"107" 107 "Promotional" 6 299.95 "Proprietary Card" "Male" "Married" 85 200 307.73816675925
"108" 108 "Promotional" 7 283.53 "MasterCard" "Female" "Married" 83 200 295.439356081825
"109" 109 "Regular" 5 107.28 "MasterCard" "Female" "Married" 80 100 110.380022930964
"110" 110 "Promotional" 6 199.39 "Discover" "Female" "Divorced" 84 100 219.052506021019
"111" 111 "Regular" 8 168.14 "Proprietary Card" "Male" "Never married" 80 100 180.183906651304
"112" 112 "Promotional" 10 151.58 "Discover" "Female" "Married" 34 300 153.211353690076
"113" 113 "Promotional" 8 218.89 "Visa" "Female" "Divorced" 86 300 228.056750589483
"114" 114 "Promotional" 9 242.45 "MasterCard" "Female" "Divorced" 65 100 277.801046822003
"115" 115 "Promotional" 8 295.89 "MasterCard" "Male" "Divorced" 38 200 297.890948720088
"116" 116 "Promotional" 10 281.87 "MasterCard" "Male" "Married" 54 400 320.481992064722
"117" 117 "Regular" 9 258.4 "Visa" "Male" "Divorced" 50 400 270.854101695632
"118" 118 "Regular" 8 151.27 "MasterCard" "Female" "Never married" 43 400 161.194051839966
"119" 119 "Regular" 2 184.13 "MasterCard" "Male" "Married" 39 300 210.174514772291
"120" 120 "Promotional" 6 140.72 "MasterCard" "Female" "Married" 67 100 153.84982758428
"121" 121 "Promotional" 7 296.13 "Proprietary Card" "Male" "Married" 44 100 307.710589964991
"122" 122 "Promotional" 4 269.97 "MasterCard" "Male" "Married" 39 100 286.146955797312
"123" 123 "Regular" 3 279.82 "Visa" "Male" "Divorced" 41 200 289.707620834814
"124" 124 "Promotional" 7 239.17 "Discover" "Male" "Never married" 18 100 250.078838900877
"125" 125 "Promotional" 1 168.61 "Proprietary Card" "Female" "Never married" 36 300 164.428180401921
"126" 126 "Promotional" 10 140.92 "Discover" "Male" "Never married" 71 100 155.627713079618
"127" 127 "Regular" 7 260.65 "Proprietary Card" "Female" "Never married" 64 400 284.891667104802
"128" 128 "Promotional" 6 174.71 "MasterCard" "Female" "Divorced" 31 300 184.8911003121
"129" 129 "Promotional" 10 123.12 "Visa" "Male" "Married" 30 100 156.679999368676
"130" 130 "Regular" 7 227.87 "MasterCard" "Male" "Married" 65 300 232.862925059501
"131" 131 "Regular" 5 192.64 "MasterCard" "Female" "Divorced" 34 400 220.630391874422
"132" 132 "Promotional" 5 221.36 "Proprietary Card" "Male" "Divorced" 63 100 230.342671479748
"133" 133 "Promotional" 8 267.06 "Proprietary Card" "Female" "Married" 84 300 289.521239434146
"134" 134 "Regular" 3 253.97 "Proprietary Card" "Female" "Divorced" 61 400 263.520832851566
"135" 135 "Promotional" 1 178.2 "Proprietary Card" "Male" "Never married" 23 400 190.251236933194
"136" 136 "Promotional" 6 189.97 "Visa" "Male" "Divorced" 33 400 204.489965239032
"137" 137 "Regular" 10 263.18 "Discover" "Male" "Married" 75 400 273.354524153529
"138" 138 "Regular" 10 101.64 "Proprietary Card" "Male" "Divorced" 45 200 120.619915872183
"139" 139 "Regular" 7 193.49 "Visa" "Female" "Never married" 25 300 202.105505183155
"140" 140 "Regular" 2 103.01 "Proprietary Card" "Female" "Divorced" 57 400 113.531652130365
"141" 141 "Promotional" 2 259.35 "Visa" "Male" "Divorced" 26 100 280.651044804997
"142" 142 "Promotional" 4 260.9 "Proprietary Card" "Male" "Never married" 25 200 268.34703649891
"143" 143 "Regular" 9 192.93 "Discover" "Female" "Divorced" 20 400 227.376588195871
"144" 144 "Promotional" 6 206.11 "Visa" "Female" "Married" 40 400 209.471799161392
"145" 145 "Regular" 9 239.17 "Visa" "Female" "Married" 68 300 246.035424428245
"146" 146 "Promotional" 2 138.25 "Visa" "Female" "Divorced" 49 200 144.472195686345
"147" 147 "Regular" 7 266.23 "Proprietary Card" "Female" "Married" 32 300 270.548061658709
"148" 148 "Regular" 9 140.64 "Proprietary Card" "Female" "Divorced" 23 400 158.419545671968
"149" 149 "Regular" 5 117.29 "Visa" "Male" "Divorced" 61 200 139.860731882613
"150" 150 "Regular" 10 242.72 "Visa" "Female" "Divorced" 75 100 259.476798818497
"151" 151 "Regular" 1 261.44 "MasterCard" "Male" "Divorced" 80 200 280.076227463289
"152" 152 "Promotional" 1 198.63 "Proprietary Card" "Male" "Married" 57 300 217.422627959602
"153" 153 "Promotional" 6 151.27 "Visa" "Male" "Divorced" 82 100 164.947307492544
"154" 154 "Promotional" 9 125.37 "MasterCard" "Male" "Married" 79 300 142.403723225697
"155" 155 "Regular" 7 173.99 "MasterCard" "Female" "Divorced" 42 300 162.231271260361
"156" 156 "Promotional" 9 224.88 "MasterCard" "Male" "Married" 82 100 242.536221689778
"157" 157 "Regular" 3 153.4 "Visa" "Female" "Never married" 85 200 166.688819365476
"158" 158 "Promotional" 10 194.7 "Proprietary Card" "Male" "Divorced" 77 100 228.381189758047
"159" 159 "Promotional" 6 150.52 "MasterCard" "Male" "Married" 32 200 167.654722010996
"160" 160 "Regular" 3 111.84 "MasterCard" "Female" "Married" 55 300 133.275761742519
"161" 161 "Regular" 9 195.13 "Discover" "Male" "Married" 51 400 210.832839276365
"162" 162 "Promotional" 1 119.56 "MasterCard" "Male" "Married" 59 400 135.54990458497
"163" 163 "Regular" 9 155.99 "MasterCard" "Male" "Never married" 72 300 166.417253352715
"164" 164 "Promotional" 1 284.8 "MasterCard" "Female" "Married" 28 200 278.317630347749
"165" 165 "Promotional" 10 162.08 "MasterCard" "Male" "Never married" 61 400 182.372588351195
"166" 166 "Promotional" 3 207.51 "MasterCard" "Female" "Never married" 83 300 222.02412671029
"167" 167 "Regular" 3 107.81 "MasterCard" "Male" "Never married" 64 300 115.828112278725
"168" 168 "Promotional" 2 260.38 "Visa" "Female" "Never married" 18 200 273.874810231057
"169" 169 "Promotional" 10 184.13 "Discover" "Male" "Married" 48 400 202.510848346582
"170" 170 "Promotional" 4 262.94 "Discover" "Male" "Divorced" 62 200 279.259702123651
"171" 171 "Promotional" 5 157.38 "Proprietary Card" "Male" "Never married" 28 100 167.160166907314
"172" 172 "Regular" 4 233.91 "MasterCard" "Male" "Divorced" 18 200 237.719775376059
"173" 173 "Regular" 9 198.13 "Proprietary Card" "Male" "Married" 84 100 216.770054986802
"174" 174 "Promotional" 5 205.18 "Discover" "Female" "Never married" 33 200 224.714875685975
"175" 175 "Promotional" 2 237.99 "Discover" "Female" "Never married" 31 300 263.2462854152
"176" 176 "Promotional" 10 185.33 "MasterCard" "Male" "Divorced" 49 100 199.458233795562
"177" 177 "Promotional" 4 243.73 "MasterCard" "Female" "Married" 47 400 249.974052733086
"178" 178 "Promotional" 9 225.34 "MasterCard" "Female" "Never married" 62 300 237.756493828568
"179" 179 "Regular" 5 131.52 "Proprietary Card" "Female" "Married" 60 400 137.607079421565
"180" 180 "Regular" 2 140.53 "MasterCard" "Female" "Divorced" 83 400 157.249566234751
"181" 181 "Regular" 1 202.93 "Proprietary Card" "Male" "Married" 59 300 213.307856491009
"182" 182 "Promotional" 5 201.23 "MasterCard" "Male" "Divorced" 19 100 201.182128682004
"183" 183 "Regular" 4 235.55 "MasterCard" "Male" "Divorced" 48 200 248.620595282835
"184" 184 "Promotional" 8 279.82 "Proprietary Card" "Female" "Married" 35 100 275.664666668463
"185" 185 "Promotional" 10 253.99 "MasterCard" "Female" "Divorced" 57 300 266.243511876497
"186" 186 "Promotional" 8 233.84 "Proprietary Card" "Male" "Never married" 59 100 243.39960524109
"187" 187 "Promotional" 7 228.4 "Visa" "Male" "Never married" 51 200 234.282430239361
"188" 188 "Regular" 3 267.76 "Proprietary Card" "Male" "Married" 45 200 280.808926142042
"189" 189 "Promotional" 3 260.65 "MasterCard" "Female" "Divorced" 74 200 282.263805104671
"190" 190 "Promotional" 5 236.86 "Discover" "Female" "Married" 88 300 246.69489398593
"191" 191 "Regular" 8 284.13 "MasterCard" "Female" "Divorced" 30 100 285.113231647681
"192" 192 "Regular" 7 150.52 "Proprietary Card" "Female" "Married" 21 300 169.354497622759
"193" 193 "Promotional" 4 258.65 "Proprietary Card" "Male" "Never married" 76 300 267.950934172913
"194" 194 "Regular" 8 215.1 "MasterCard" "Male" "Never married" 27 300 243.735680957252
"195" 195 "Promotional" 2 238.73 "MasterCard" "Male" "Divorced" 73 200 244.847692100898
"196" 196 "Regular" 3 274.53 "Discover" "Male" "Never married" 76 400 284.719951073492
"197" 197 "Promotional" 7 238.71 "Proprietary Card" "Female" "Married" 40 300 257.974191850561
"198" 198 "Promotional" 4 198.63 "Discover" "Female" "Never married" 55 300 214.842146777897
"199" 199 "Regular" 7 193.24 "MasterCard" "Male" "Married" 41 100 207.413768496943
"200" 200 "Promotional" 4 260.38 "MasterCard" "Male" "Married" 63 300 275.187196443775
"201" 201 "Regular" 4 254.21 "Discover" "Male" "Married" 44 300 252.660428167804
"202" 202 "Promotional" 6 119.56 "MasterCard" "Female" "Divorced" 49 400 130.934722683079
"203" 203 "Promotional" 1 205.37 "Proprietary Card" "Male" "Married" 88 100 220.848869464837
"204" 204 "Regular" 4 296.96 "MasterCard" "Male" "Divorced" 57 200 310.149408741994
"205" 205 "Promotional" 10 219.17 "Discover" "Female" "Never married" 79 400 248.820951595325
"206" 206 "Promotional" 10 298.24 "Visa" "Male" "Married" 22 100 312.632889138297
"207" 207 "Regular" 4 131.46 "Discover" "Female" "Divorced" 85 300 148.502103123442
"208" 208 "Promotional" 5 281.87 "Discover" "Female" "Married" 86 100 281.067218421923
"209" 209 "Regular" 2 238.71 "Discover" "Male" "Divorced" 81 400 257.354843485426
"210" 210 "Promotional" 7 110.09 "Discover" "Female" "Married" 42 200 126.843568612168
"211" 211 "Promotional" 8 133.56 "MasterCard" "Female" "Never married" 33 100 144.070646378564
"212" 212 "Regular" 4 129.5 "Proprietary Card" "Female" "Divorced" 19 400 145.495275279925
"213" 213 "Regular" 7 298.22 "MasterCard" "Female" "Never married" 69 400 315.387825913814
"214" 214 "Regular" 9 259.83 "Visa" "Male" "Divorced" 82 100 284.962138458088
"215" 215 "Promotional" 1 167.26 "Visa" "Male" "Divorced" 56 400 168.539159922248
"216" 216 "Promotional" 10 254.24 "Proprietary Card" "Female" "Divorced" 86 300 272.397140052086
"217" 217 "Regular" 5 232.42 "Discover" "Female" "Married" 26 200 252.696144834011
"218" 218 "Promotional" 1 280.95 "Discover" "Male" "Never married" 38 200 279.41045357647
"219" 219 "Regular" 5 108.12 "Discover" "Male" "Never married" 78 100 123.723965533475
"220" 220 "Regular" 2 236.19 "MasterCard" "Male" "Never married" 77 200 260.15503684673
"221" 221 "Regular" 6 241.08 "Visa" "Female" "Divorced" 65 100 255.082719644031
"222" 222 "Promotional" 8 149.19 "Visa" "Female" "Never married" 48 200 159.749300164419
"223" 223 "Promotional" 9 179.67 "Visa" "Female" "Divorced" 23 100 181.660724516256
"224" 224 "Promotional" 6 140.64 "Visa" "Female" "Never married" 44 400 148.310407652053
"225" 225 "Promotional" 10 172.13 "MasterCard" "Male" "Married" 26 200 163.032631086883
"226" 226 "Regular" 3 164.7 "Proprietary Card" "Male" "Divorced" 84 400 184.294507195726
"227" 227 "Promotional" 8 168.14 "Visa" "Male" "Never married" 72 400 179.76257833101
"228" 228 "Regular" 3 139.62 "Discover" "Male" "Never married" 23 300 149.964969138953
"229" 229 "Regular" 8 150.78 "Discover" "Female" "Never married" 62 100 158.4515997679
"230" 230 "Regular" 4 253.99 "Discover" "Female" "Married" 79 200 266.551500768004
"231" 231 "Regular" 5 104.37 "Discover" "Female" "Never married" 21 300 134.704796047534
"232" 232 "Regular" 8 183.34 "Visa" "Female" "Married" 31 300 199.60811611651
"233" 233 "Promotional" 10 232.45 "Discover" "Female" "Married" 60 300 244.584032183994
"234" 234 "Regular" 2 108.12 "Proprietary Card" "Female" "Married" 18 300 128.144034484901
"235" 235 "Promotional" 1 263.18 "Discover" "Female" "Divorced" 72 300 284.675539726039
"236" 236 "Promotional" 5 182.97 "Discover" "Female" "Married" 41 300 198.255873655411
"237" 237 "Promotional" 5 100.5 "Discover" "Male" "Never married" 43 400 116.562877112567
"238" 238 "Promotional" 7 193.5 "MasterCard" "Female" "Married" 85 400 226.42229566211
"239" 239 "Regular" 5 172.13 "MasterCard" "Male" "Never married" 39 300 186.442289413391
"240" 240 "Regular" 3 254.21 "Discover" "Female" "Married" 68 100 267.985580020952
"241" 241 "Regular" 3 218.33 "Visa" "Female" "Divorced" 42 300 241.934391068272
"242" 242 "Regular" 6 282.9 "Proprietary Card" "Female" "Never married" 31 400 307.022561957999
"243" 243 "Regular" 3 242.56 "MasterCard" "Female" "Married" 38 300 263.737343192525
"244" 244 "Promotional" 5 291.17 "Discover" "Male" "Divorced" 43 300 309.336558429086
"245" 245 "Regular" 2 237.12 "MasterCard" "Female" "Divorced" 45 100 265.812494305576
"246" 246 "Promotional" 7 229.98 "Visa" "Female" "Never married" 32 200 240.855144124295
"247" 247 "Promotional" 3 129.1 "Visa" "Male" "Divorced" 68 400 143.393186052797
"248" 248 "Promotional" 8 218.7 "Discover" "Female" "Never married" 83 100 231.3606631852
"249" 249 "Promotional" 5 250.09 "Visa" "Male" "Divorced" 45 400 259.466041333335
"250" 250 "Promotional" 10 139.36 "Proprietary Card" "Female" "Never married" 33 200 136.33062625906
"251" 251 "Regular" 9 173.18 "Discover" "Male" "Married" 57 100 175.008448860221
"252" 252 "Regular" 1 201.84 "Proprietary Card" "Male" "Married" 87 300 208.001703644557
"253" 253 "Regular" 3 131.52 "Visa" "Female" "Divorced" 42 100 139.010434716424
"254" 254 "Promotional" 10 107.28 "Visa" "Male" "Never married" 79 400 133.953751281848
"255" 255 "Regular" 1 172.21 "MasterCard" "Male" "Married" 65 300 204.193738463428
"256" 256 "Regular" 1 289.93 "Discover" "Female" "Divorced" 25 400 301.98641696934
"257" 257 "Promotional" 4 268.44 "Proprietary Card" "Male" "Divorced" 18 400 281.928421018096
"258" 258 "Regular" 9 266.01 "Proprietary Card" "Female" "Married" 65 300 282.542230204887
"259" 259 "Promotional" 4 245.1 "Visa" "Female" "Married" 62 200 251.555838343643
"260" 260 "Promotional" 2 117.29 "MasterCard" "Male" "Married" 56 400 136.433663162819
"261" 261 "Regular" 3 292.99 "MasterCard" "Female" "Married" 76 200 294.896896542665
"262" 262 "Promotional" 4 110.09 "Visa" "Female" "Divorced" 78 100 122.355125168146
"263" 263 "Promotional" 6 295.04 "Proprietary Card" "Male" "Never married" 76 200 306.089314375167
"264" 264 "Promotional" 1 195.47 "Visa" "Female" "Divorced" 69 200 224.528617750739
"265" 265 "Regular" 4 198.13 "MasterCard" "Male" "Never married" 80 300 194.627947264103
"266" 266 "Promotional" 2 162.73 "MasterCard" "Male" "Never married" 64 300 176.756709955666
"267" 267 "Promotional" 9 143.79 "Discover" "Male" "Divorced" 37 200 146.535719847602
"268" 268 "Promotional" 6 150.88 "MasterCard" "Male" "Never married" 80 300 160.871150666632
"269" 269 "Promotional" 6 165.62 "Visa" "Female" "Never married" 80 300 168.922966700163
"270" 270 "Regular" 6 233.91 "Discover" "Female" "Divorced" 35 400 246.319314187007
"271" 271 "Regular" 4 253.42 "Proprietary Card" "Female" "Divorced" 58 200 272.91524672537
"272" 272 "Regular" 5 279.2 "Discover" "Male" "Never married" 88 100 299.100643160764
"273" 273 "Promotional" 6 104.35 "MasterCard" "Female" "Never married" 52 200 119.308862583789
"274" 274 "Regular" 8 265.82 "Proprietary Card" "Female" "Married" 64 400 291.842786690851
"275" 275 "Promotional" 5 133.68 "MasterCard" "Male" "Divorced" 34 300 135.864613303172
"276" 276 "Promotional" 4 104.47 "MasterCard" "Female" "Divorced" 49 400 112.814906702494
"277" 277 "Promotional" 1 119.67 "Discover" "Male" "Married" 56 400 130.652505907137
"278" 278 "Regular" 10 191.15 "Discover" "Female" "Divorced" 61 300 196.186193310298
"279" 279 "Regular" 10 171.07 "Discover" "Female" "Divorced" 86 200 176.8014563786
"280" 280 "Promotional" 1 221.53 "Visa" "Female" "Married" 23 400 226.284596506311
"281" 281 "Regular" 5 193.49 "Visa" "Male" "Married" 58 200 198.865505118633
"282" 282 "Regular" 2 116.54 "Discover" "Male" "Married" 76 400 129.036344055646
"283" 283 "Promotional" 5 222.35 "MasterCard" "Male" "Never married" 73 100 238.715420357621
"284" 284 "Promotional" 7 261.44 "Visa" "Male" "Divorced" 84 400 291.782104674669
"285" 285 "Regular" 6 178.92 "Proprietary Card" "Male" "Married" 28 200 182.763627841282
"286" 286 "Regular" 3 188.12 "Discover" "Female" "Married" 41 400 214.910104102524
"287" 287 "Promotional" 10 252.09 "Proprietary Card" "Male" "Divorced" 73 400 280.189209199577
"288" 288 "Regular" 3 178.2 "Proprietary Card" "Male" "Never married" 80 100 187.042501966612
"289" 289 "Regular" 8 190.04 "Visa" "Female" "Divorced" 40 300 197.228082547902
"290" 290 "Regular" 4 176.71 "Visa" "Male" "Never married" 39 400 186.754547432685
"291" 291 "Promotional" 5 129.24 "Proprietary Card" "Male" "Married" 38 300 149.279383124734
"292" 292 "Regular" 1 131.46 "MasterCard" "Female" "Married" 33 200 151.746311598744
"293" 293 "Promotional" 5 200.35 "Discover" "Male" "Divorced" 81 400 225.245349598734
"294" 294 "Regular" 10 295.89 "MasterCard" "Female" "Divorced" 81 200 291.38920905325
"295" 295 "Regular" 9 138.25 "Visa" "Female" "Never married" 48 300 162.358215181261
"296" 296 "Promotional" 10 272.74 "Proprietary Card" "Male" "Divorced" 87 100 285.573842106991
"297" 297 "Promotional" 10 226.72 "Visa" "Male" "Never married" 81 200 254.578272456127
"298" 298 "Regular" 3 173.68 "Proprietary Card" "Male" "Never married" 26 100 175.820221863952
"299" 299 "Regular" 8 254.2 "Proprietary Card" "Male" "Married" 26 200 261.062411588875
"300" 300 "Regular" 5 254.2 "Proprietary Card" "Female" "Never married" 34 100 262.15012515811
"301" 301 "Regular" 8 187.93 "Discover" "Female" "Married" 51 400 194.490967494484
